measurement,one_way_delay_us
1,0.277944
2,0.278350
3,0.278282
4,0.278398
5,0.278372
6,0.278395
7,0.278383
8,0.278382
9,0.278369
10,0.278371
11,0.278369
12,0.278374
13,0.278399
14,0.278375
15,0.278383
16,0.278374
17,0.278413
18,0.278414
19,0.278367
20,0.278399
21,0.278393
22,0.278409
23,0.278414
24,0.278366
25,0.278411
26,0.278406
27,0.278406
28,0.278410
29,0.278388
30,0.278390
31,0.278401
32,0.278414
33,0.278406
34,0.278409
35,0.278412
36,0.278368
37,0.278401
38,0.278418
39,0.278401
40,0.278400
41,0.278395
42,0.278366
43,0.278400
44,0.278405
45,0.278358
46,0.278377
47,0.278396
48,0.278357
49,0.278372
50,0.278350
51,0.278345
52,0.278380
53,0.278389
54,0.278361
55,0.278356
56,0.278370
57,0.278354
58,0.278378
59,0.278371
60,0.278380
61,0.278388
62,0.278360
63,0.278379
64,0.278388
65,0.278357
66,0.278360
67,0.278385
68,0.278368
69,0.278382
70,0.278348
71,0.278378
72,0.278370
73,0.278393
74,0.278385
75,0.278394
76,0.278378
77,0.278390
78,0.278394
79,0.278390
80,0.278378
81,0.278393
82,0.278374
83,0.278398
84,0.278373
85,0.278319
86,0.278363
87,0.278369
88,0.278349
89,0.278378
90,0.278395
91,0.278380
92,0.278377
93,0.278389
94,0.278375
95,0.278365
96,0.278325
97,0.278383
98,0.278392
99,0.278383
100,0.278379
101,0.278363
102,0.278265
103,0.278350
104,0.278359
105,0.268238
106,0.277965
107,0.278344
108,0.278342
109,0.278344
110,0.278341
111,0.278331
112,0.278332
113,0.278330
114,0.278332
115,0.278340
116,0.278361
117,0.278350
118,0.278350
119,0.278345
120,0.278354
121,0.278289
122,0.278330
123,0.278327
124,0.278343
125,0.278345
126,0.278381
127,0.278365
128,0.278362
129,0.278345
130,0.278344
131,0.278384
132,0.278344
133,0.278349
134,0.278370
135,0.278393
136,0.278360
137,0.278363
138,0.278377
139,0.278383
140,0.278396
141,0.278388
142,0.278386
143,0.278380
144,0.278379
145,0.278383
146,0.278387
147,0.278355
148,0.278367
149,0.278384
150,0.278380
151,0.278388
152,0.278380
153,0.278383
154,0.278353
155,0.278380
156,0.278371
157,0.278377
158,0.278379
159,0.278387
160,0.278393
161,0.278352
162,0.278387
163,0.278369
164,0.278370
165,0.278376
166,0.278379
167,0.278376
168,0.278361
169,0.278378
170,0.278381
171,0.278397
172,0.278385
173,0.278384
174,0.278363
175,0.278377
176,0.278380
177,0.278382
178,0.278385
179,0.278397
180,0.278382
181,0.278389
182,0.278374
183,0.278391
184,0.278372
185,0.278358
186,0.278362
187,0.278379
188,0.278348
189,0.278380
190,0.278373
191,0.278381
192,0.278388
193,0.278374
194,0.278370
195,0.278378
196,0.278376
197,0.278384
198,0.278376
199,0.278372
200,0.278372
201,0.278280
202,0.278269
203,0.278329
204,0.278352
205,0.278361
206,0.278376
207,0.278377
208,0.278383
209,0.278327
210,0.278349
211,0.278366
212,0.278357
213,0.278362
214,0.278374
215,0.278361
216,0.278379
217,0.268305
218,0.274706
219,0.278373
220,0.278382
221,0.247803
222,0.257548
223,0.267430
224,0.277354
225,0.278359
226,0.278385
227,0.268291
228,0.277989
229,0.278368
230,0.278338
231,0.268283
232,0.277997
233,0.278373
234,0.278395
235,0.268280
236,0.277971
237,0.257866
238,0.267655
239,0.277491
240,0.278329
241,0.278373
242,0.268284
243,0.278002
244,0.278371
245,0.278389
246,0.268285
247,0.277985
248,0.278340
249,0.278395
250,0.268260
251,0.277959
252,0.278376
253,0.278385
254,0.268280
255,0.277964
256,0.278367
257,0.278387
258,0.268285
259,0.277994
260,0.278329
261,0.278384
262,0.268311
263,0.278087
264,0.278383
265,0.278384
266,0.268273
267,0.277933
268,0.278377
269,0.278387
270,0.268245
271,0.277958
272,0.278374
273,0.278383
274,0.268270
275,0.277946
276,0.278376
277,0.278381
278,0.268288
279,0.277978
280,0.278367
281,0.278393
282,0.268277
283,0.277987
284,0.278363
285,0.278388
286,0.268290
287,0.277959
288,0.278375
289,0.278394
290,0.268247
291,0.277949
292,0.278389
293,0.278390
294,0.268299
295,0.277969
296,0.278371
297,0.278391
298,0.268294
299,0.277994
300,0.278355
301,0.278383
302,0.268203
303,0.277839
304,0.278371
305,0.278391
306,0.268288
307,0.277961
308,0.278390
309,0.278350
310,0.268283
311,0.277993
312,0.278361
313,0.278384
314,0.268287
315,0.277953
316,0.278375
317,0.278387
318,0.268276
319,0.277970
320,0.278366
321,0.278392
322,0.268293
323,0.277978
324,0.278378
325,0.278383
326,0.268284
327,0.277959
328,0.278389
329,0.278383
330,0.268278
331,0.277989
332,0.278384
333,0.278418
334,0.268265
335,0.277942
336,0.278381
337,0.278397
338,0.268266
339,0.277981
340,0.278371
341,0.278381
342,0.268268
343,0.277976
344,0.278380
345,0.278402
346,0.268299
347,0.277966
348,0.278369
349,0.278386
350,0.268271
351,0.277994
352,0.278393
353,0.278377
354,0.268275
355,0.277937
356,0.278383
357,0.278397
358,0.268262
359,0.277969
360,0.257884
361,0.267646
362,0.277455
363,0.278383
364,0.278403
365,0.268297
366,0.277958
367,0.278379
368,0.278376
369,0.268274
370,0.277980
371,0.278382
372,0.278394
373,0.268263
374,0.277949
375,0.278385
376,0.278380
377,0.268284
378,0.277989
379,0.278383
380,0.278390
381,0.268311
382,0.278004
383,0.278373
384,0.278407
385,0.268302
386,0.277956
387,0.278388
388,0.278399
389,0.268290
390,0.278000
391,0.278382
392,0.278394
393,0.268268
394,0.277950
395,0.278377
396,0.278394
397,0.268285
398,0.277983
399,0.278365
400,0.278392
401,0.268187
402,0.277834
403,0.278377
404,0.278392
405,0.268297
406,0.277971
407,0.278374
408,0.278353
409,0.268275
410,0.277986
411,0.278387
412,0.278407
413,0.268306
414,0.277971
415,0.278369
416,0.278390
417,0.268283
418,0.277979
419,0.278379
420,0.278400
421,0.268303
422,0.278020
423,0.278390
424,0.278404
425,0.268302
426,0.277972
427,0.278371
428,0.278382
429,0.268290
430,0.278011
431,0.278390
432,0.278383
433,0.268279
434,0.277960
435,0.278362
436,0.278401
437,0.268269
438,0.277988
439,0.278379
440,0.278400
441,0.268283
442,0.278001
443,0.278384
444,0.278393
445,0.268304
446,0.277958
447,0.278370
448,0.278387
449,0.268291
450,0.278003
451,0.278387
452,0.278400
453,0.268296
454,0.277981
455,0.278379
456,0.278391
457,0.268260
458,0.277961
459,0.278388
460,0.278407
461,0.268306
462,0.278016
463,0.278400
464,0.278404
465,0.268305
466,0.277968
467,0.278358
468,0.278381
469,0.268280
470,0.277995
471,0.278368
472,0.278411
473,0.268297
474,0.277969
475,0.278397
476,0.278404
477,0.268273
478,0.277986
479,0.278383
480,0.278409
481,0.268266
482,0.277956
483,0.278397
484,0.278398
485,0.268306
486,0.277978
487,0.278374
488,0.278403
489,0.268282
490,0.278011
491,0.278389
492,0.278414
493,0.268286
494,0.277966
495,0.278379
496,0.278412
497,0.268258
498,0.277974
499,0.278378
500,0.278403
501,0.268182
502,0.277795
503,0.278389
504,0.278382
505,0.268274
506,0.277971
507,0.278358
508,0.278381
509,0.268275
510,0.277992
511,0.278387
512,0.278420
513,0.268265
514,0.277957
515,0.278313
516,0.278390
517,0.268248
518,0.277927
519,0.278387
520,0.278387
521,0.268267
522,0.277967
523,0.278384
524,0.278391
525,0.268302
526,0.278000
527,0.278345
528,0.278378
529,0.268269
530,0.277959
531,0.278360
532,0.278412
533,0.268256
534,0.277914
535,0.278350
536,0.278396
537,0.268246
538,0.277969
539,0.278384
540,0.278384
541,0.268295
542,0.277958
543,0.278391
544,0.278387
545,0.268300
546,0.278015
547,0.278367
548,0.278390
549,0.237751
550,0.247507
551,0.257378
552,0.267257
553,0.276009
554,0.278365
555,0.278381
556,0.268267
557,0.277975
558,0.278404
559,0.278401
560,0.268291
561,0.277989
562,0.278404
563,0.278413
564,0.268275
565,0.278000
566,0.278380
567,0.278408
568,0.268308
569,0.278033
570,0.278408
571,0.278421
572,0.268291
573,0.278001
574,0.278405
575,0.278365
576,0.268282
577,0.278040
578,0.278410
579,0.278406
580,0.268275
581,0.277970
582,0.278401
583,0.278403
584,0.268317
