measurement,one_way_delay_us
1,0.119973
2,0.120754
3,0.115607
4,0.116408
5,0.117270
6,0.118122
7,0.079808
8,0.080571
9,0.081403
10,0.082260
11,0.083085
12,0.084422
13,0.085297
14,0.084324
15,0.085091
16,0.085910
17,0.086734
18,0.068752
19,0.026380
20,0.027054
21,0.027840
22,0.028678
23,0.029520
24,0.030376
25,0.031243
26,0.030211
27,0.030913
28,0.031682
29,0.032468
30,0.002195
31,0.002922
32,0.003728
33,0.004568
34,0.005438
35,0.006301
36,0.007182
37,0.005751
38,0.006409
39,0.006168
40,0.007017
41,0.007883
42,0.008768
43,0.009641
44,0.009328
45,0.010079
46,0.010660
47,0.009860
48,0.009046
49,0.008174
50,0.007279
51,0.006384
52,0.005487
53,0.004588
54,0.005634
55,0.004976
56,0.004148
57,0.003186
58,0.003567
59,0.002711
60,0.001807
61,0.000913
62,0.023409
63,0.022644
64,0.021839
65,0.020961
66,0.020083
67,0.019188
68,0.040359
69,0.039574
70,0.038673
71,0.037784
72,0.036884
73,0.035985
74,0.036432
75,0.035638
76,0.034834
77,0.044049
78,0.043241
79,0.042369
80,0.044229
81,0.043460
82,0.042612
83,0.041743
84,0.040862
85,0.039984
86,0.040560
87,0.039738
88,0.038911
89,0.081265
90,0.080479
91,0.079646
92,0.078824
93,0.077958
94,0.077066
95,0.076169
96,0.075253
97,0.065772
98,0.087957
99,0.087178
100,0.086340
101,0.085327
102,0.096865
103,0.096108
104,0.095302
105,0.094479
106,0.093574
107,0.097601
108,0.096817
109,0.095550
110,0.095286
111,0.094422
112,0.093527
113,0.092672
114,0.091827
115,0.090943
116,0.090922
117,0.090050
118,0.101785
119,0.100995
120,0.102887
121,0.137857
122,0.137073
123,0.136220
124,0.135413
125,0.134579
126,0.133717
127,0.132826
128,0.131929
129,0.133174
130,0.174910
131,0.174161
132,0.173310
133,0.172411
134,0.172619
135,0.171745
136,0.170876
137,0.169994
138,0.169103
139,0.169586
140,0.168770
141,0.167886
142,0.167012
143,0.166125
144,0.165255
145,0.164359
146,0.163454
147,0.162555
148,0.161662
149,0.160764
150,0.161771
151,0.160897
152,0.159990
153,0.159976
154,0.162432
155,0.161630
156,0.160765
157,0.159905
158,0.159046
159,0.158152
160,0.157296
161,0.158162
162,0.157338
163,0.156540
164,0.155678
165,0.154823
166,0.155205
167,0.154372
168,0.153524
169,0.152657
170,0.152978
171,0.152131
172,0.151291
173,0.151231
174,0.150426
175,0.173142
176,0.172366
177,0.171538
178,0.170689
179,0.178879
180,0.178127
181,0.177254
182,0.176374
183,0.175470
184,0.175638
185,0.174751
186,0.173863
187,0.172964
188,0.172076
189,0.172774
190,0.171943
191,0.171068
192,0.170180
193,0.169291
194,0.168394
195,0.167500
196,0.168916
197,0.168041
198,0.167175
199,0.166361
200,0.169503
201,0.168627
202,0.167740
203,0.133378
204,0.132493
205,0.131623
