measurement,one_way_delay_us
1,0.185204
2,0.186175
3,0.187052
4,0.187949
5,0.188826
6,0.189715
7,0.189063
8,0.189930
9,0.190765
10,0.191714
11,0.192649
12,0.193496
13,0.192894
14,0.183846
15,0.184531
16,0.185300
17,0.184903
18,0.151407
19,0.152146
20,0.152963
21,0.151237
22,0.152025
23,0.143369
24,0.144014
25,0.099210
26,0.099924
27,0.074746
28,0.075471
29,0.076276
30,0.076271
31,0.077114
32,0.077978
33,0.078831
34,0.079686
35,0.079179
36,0.080009
37,0.080814
38,0.081626
39,0.082470
40,0.083343
41,0.084203
42,0.083233
43,0.083963
44,0.084832
45,0.085679
46,0.086559
47,0.086263
48,0.087097
49,0.087961
50,0.088809
51,0.088356
52,0.045044
53,0.045788
54,0.046655
55,0.047552
56,0.048433
57,0.049337
58,0.048758
59,0.049635
60,0.050489
61,0.051271
62,0.052158
63,0.053031
64,0.053919
65,0.053513
66,0.054397
67,0.055259
68,0.056155
69,0.057036
70,0.057928
71,0.058731
72,0.059607
73,0.058621
74,0.059453
75,0.060312
76,0.061184
77,0.062057
78,0.061646
79,0.062528
80,0.063399
81,0.064292
82,0.064389
83,0.065158
84,0.056094
85,0.056875
86,0.057708
87,0.057727
88,0.058557
89,0.059421
90,0.060300
91,0.061183
92,0.060914
93,0.042398
94,0.043188
95,0.044084
96,0.044985
97,0.085655
98,0.084225
99,0.085072
100,0.085976
101,0.087033
102,0.087938
103,0.087757
104,0.088616
105,0.089450
106,0.090316
107,0.089949
108,0.090805
109,0.091705
110,0.092626
111,0.092964
112,0.093753
113,0.094634
114,0.096228
115,0.096988
116,0.096794
117,0.097675
118,0.098556
119,0.099434
120,0.099412
121,0.100131
122,0.101007
123,0.101893
124,0.102770
125,0.102485
126,0.103349
127,0.104202
128,0.105011
129,0.102086
130,0.102732
131,0.103620
132,0.104507
133,0.105408
134,0.100891
135,0.101624
136,0.102442
137,0.103294
138,0.104178
139,0.076593
140,0.077394
141,0.075233
142,0.075825
143,0.076525
144,0.077366
145,0.076648
146,0.077397
147,0.078214
148,0.066065
149,0.066804
150,0.041657
151,0.042333
152,0.043214
153,0.044091
154,0.044988
155,0.044731
156,0.045568
157,0.042413
158,0.043265
159,0.044149
160,0.045378
161,0.046274
162,0.047162
163,0.048052
164,0.047429
165,0.048075
166,0.048871
167,0.049698
168,0.050501
169,0.049872
170,0.050646
171,0.051430
172,0.052112
173,0.052918
174,0.051647
175,0.052410
176,0.053079
177,0.052828
178,0.053666
179,0.054491
180,0.055304
181,0.054953
182,0.055857
183,0.056767
184,0.056808
185,0.057611
186,0.058458
187,0.059302
188,0.060132
189,0.059921
190,0.060798
191,0.061701
192,0.062585
193,0.063491
194,0.063434
195,0.064243
196,0.065695
197,0.064825
198,0.065597
199,0.066428
200,0.067217
201,0.068193
202,0.067890
203,0.068743
204,0.069603
205,0.070426
206,0.070229
207,0.070973
208,0.071856
209,0.072749
210,0.072847
211,0.073971
212,0.074812
213,0.075668
214,0.075415
215,0.076283
216,0.077183
217,0.078059
218,0.078953
219,0.078441
220,0.079182
221,0.079037
222,0.079835
223,0.080162
224,0.080937
225,0.081774
226,0.082470
227,0.083231
228,0.083061
229,0.083925
230,0.084790
231,0.085601
232,0.085262
233,0.086153
234,0.087046
235,0.087937
236,0.088856
237,0.089008
238,0.089858
239,0.090740
240,0.091629
241,0.092511
242,0.093422
243,0.092863
244,0.093727
245,0.094619
246,0.095471
247,0.096350
248,0.097234
249,0.098115
250,0.099005
251,0.098093
252,0.098932
253,0.114293
254,0.115155
255,0.116062
256,0.116951
257,0.116746
258,0.117598
259,0.118490
260,0.119371
261,0.120309
262,0.119981
