measurement,one_way_delay_us
1,0.172727
2,0.172935
3,0.172642
4,0.172410
5,0.172868
6,0.172333
7,0.172622
8,0.172871
9,0.172743
10,0.167793
11,0.168571
12,0.169880
13,0.170679
14,0.171532
15,0.172421
16,0.171548
17,0.172402
18,0.172213
19,0.172926
20,0.172626
21,0.172582
22,0.172294
23,0.033398
24,0.440914
25,0.440409
26,0.441327
27,0.440697
28,0.440008
29,0.439171
30,0.439217
31,0.438373
32,0.437557
33,0.436718
34,0.435883
35,0.436022
36,0.435220
37,0.434468
38,0.434468
39,0.433696
40,0.432884
41,0.432023
42,0.431145
43,0.430294
44,0.429408
45,0.429898
46,0.429146
47,0.428288
48,0.427438
49,0.426554
50,0.427159
51,0.426412
52,0.425590
53,0.424756
54,0.423924
55,0.423086
56,0.423114
57,0.423076
58,0.422473
59,0.421746
60,0.420893
61,0.421685
62,0.420976
63,0.420246
64,0.419502
65,0.419817
66,0.418983
67,0.418146
68,0.417247
69,0.417207
70,0.416355
71,0.415489
72,0.414649
73,0.413768
74,0.412873
75,0.413415
76,0.412600
77,0.411751
78,0.410871
79,0.410024
80,0.409162
81,0.408272
82,0.409136
83,0.408308
84,0.407443
85,0.406592
86,0.405716
87,0.404854
88,0.405389
89,0.404540
90,0.403662
91,0.402816
92,0.401966
93,0.401092
94,0.400250
95,0.399345
96,0.400204
97,0.399353
98,0.398488
99,0.397631
100,0.396750
101,0.395683
102,0.396265
103,0.395409
104,0.394544
105,0.393684
106,0.392817
107,0.391950
108,0.391066
109,0.391996
110,0.391042
111,0.390107
112,0.389255
113,0.388341
114,0.387471
115,0.387724
116,0.386890
117,0.386007
118,0.385117
119,0.385411
120,0.384608
121,0.383720
122,0.382842
123,0.382791
124,0.381926
125,0.381053
126,0.380214
127,0.379331
128,0.379709
129,0.378891
130,0.378036
131,0.377146
132,0.377292
133,0.376423
134,0.375548
135,0.374668
136,0.373820
137,0.373635
138,0.372783
139,0.371899
140,0.371066
141,0.370226
142,0.369353
143,0.369944
144,0.369115
145,0.368271
146,0.119225
147,0.120108
148,0.121012
149,0.113505
150,0.114225
151,0.115837
152,0.116585
153,0.117399
154,0.116185
155,0.117038
156,0.117928
157,0.119057
158,0.119967
159,0.119722
160,0.120610
161,0.121496
162,0.122394
163,0.122445
164,0.123321
165,0.124222
166,0.125096
167,0.125940
168,0.125280
169,0.126029
170,0.126762
171,0.127522
172,0.126456
173,0.127306
174,0.128206
175,0.129106
176,0.129973
177,0.130863
178,0.130383
179,0.131257
180,0.132163
181,0.133056
182,0.133966
183,0.134860
184,0.135772
185,0.136765
186,0.136024
187,0.136813
188,0.137527
189,0.138387
190,0.139312
191,0.139167
192,0.140051
193,0.140899
194,0.141762
195,0.142574
196,0.143034
197,0.143894
198,0.144778
199,0.145656
200,0.145390
201,0.146318
202,0.147198
203,0.146901
204,0.147780
205,0.148684
206,0.149577
207,0.150485
208,0.064114
209,0.063560
210,0.062571
211,0.060065
212,0.059154
213,0.059624
214,0.058724
215,0.057818
216,0.056946
217,0.056038
218,0.055144
219,0.054252
220,0.053305
221,0.054494
222,0.053677
223,0.052886
224,0.052047
225,0.052188
226,0.058839
227,0.058304
228,0.058925
229,0.058092
230,0.056372
