measurement,one_way_delay_us
1,-0.846041
2,-0.845885
3,-0.845378
4,-0.846106
5,-0.845765
6,-0.845316
7,-0.846028
8,-0.845799
9,-0.845353
10,-0.846062
11,-0.845554
12,-0.845941
13,-0.844276
14,-0.844950
15,-0.845822
16,-0.846007
17,-0.846012
18,-0.845402
19,-0.843565
20,-0.844348
21,-0.845238
22,-0.844880
23,-0.845565
24,-0.845121
25,-0.843643
26,-0.844304
27,-0.845161
28,-0.845917
29,-0.845109
30,-0.845686
31,-0.845359
32,-0.846041
33,-0.845705
34,-0.845464
35,-0.846191
36,-0.845967
37,-0.845963
38,-0.846085
39,-0.845628
40,-0.845644
41,-0.845803
42,-0.845099
43,-0.845769
44,-0.845576
45,-0.845935
46,-0.845793
47,-0.845122
48,-0.845775
49,-0.846214
50,-0.845576
51,-0.846162
52,-0.845914
53,-0.845720
54,-0.846201
55,-0.845470
56,-0.846128
57,-0.845975
58,-0.845835
59,-0.845661
60,-0.845986
61,-0.845255
62,-0.845889
63,-0.845611
64,-0.843656
65,-0.844370
66,-0.845232
67,-0.846020
68,-0.846056
69,-0.845740
70,-0.845157
71,-0.845857
72,-0.845372
73,-0.846111
74,-0.845802
75,-0.845848
76,-0.846103
77,-0.845467
78,-0.846229
79,-0.845421
80,-0.845769
81,-0.846021
82,-0.846124
83,-0.845748
84,-0.845494
85,-0.846232
86,-0.846137
87,-0.846158
88,-0.845921
89,-0.845956
90,-0.845847
91,-0.846105
92,-0.845538
93,-0.845774
94,-0.843553
95,-0.844416
96,-0.845307
97,-0.846164
98,-0.845950
99,-0.845668
100,-0.845932
101,-0.845206
102,-0.845893
103,-0.845624
104,-0.846118
105,-0.845323
106,-0.843514
107,-0.844450
108,-0.845341
109,-0.846227
110,-0.846233
111,-0.845948
112,-0.844656
113,-0.845438
114,-0.846205
115,-0.845521
116,-0.845786
117,-0.843461
118,-0.844300
119,-0.640319
120,-0.641091
121,-0.641854
122,-0.642691
123,-0.643466
124,-0.644306
125,-0.642980
126,-0.643867
127,-0.644746
128,-0.645631
129,-0.645251
130,-0.646121
131,-0.646992
132,-0.647084
133,-0.647803
134,-0.648668
135,-0.649514
136,-0.650410
137,-0.651283
138,-0.651076
139,-0.651959
140,-0.652847
