measurement,one_way_delay_us
1,-0.845753
2,-0.846240
3,-0.846159
4,-0.846161
5,-0.846229
6,-0.846225
7,-0.846194
8,-0.846191
9,-0.846219
10,-0.846223
11,-0.846213
12,-0.846207
13,-0.846159
14,-0.846152
15,-0.846175
16,-0.846154
17,-0.845876
18,-0.846205
19,-0.846253
20,-0.846260
21,-0.846259
22,-0.846244
23,-0.846225
24,-0.846252
25,-0.846266
26,-0.846266
27,-0.846257
28,-0.846268
29,-0.846269
30,-0.846264
31,-0.846268
32,-0.846222
33,-0.846223
34,-0.846249
35,-0.846261
36,-0.846093
37,-0.845563
38,-0.845906
39,-0.845519
40,-0.844741
41,-0.845463
42,-0.846224
43,-0.846073
44,-0.846114
45,-0.845794
46,-0.845531
47,-0.845828
48,-0.845903
49,-0.845851
50,-0.846082
51,-0.845629
52,-0.846049
53,-0.845121
54,-0.845874
55,-0.846148
56,-0.845910
57,-0.845304
58,-0.845564
59,-0.845885
60,-0.845929
61,-0.845632
62,-0.846139
63,-0.845527
64,-0.845886
65,-0.845308
66,-0.845636
67,-0.845437
68,-0.846250
69,-0.845743
70,-0.846103
71,-0.845839
72,-0.845787
73,-0.846231
74,-0.845621
75,-0.846020
76,-0.845400
77,-0.846165
78,-0.846208
79,-0.845964
80,-0.845717
81,-0.845945
82,-0.845957
83,-0.845688
84,-0.846118
85,-0.845448
86,-0.845730
87,-0.845172
88,-0.845848
89,-0.844911
90,-0.845560
91,-0.845792
92,-0.845165
93,-0.845934
94,-0.845784
95,-0.845471
96,-0.846235
97,-0.845731
98,-0.845754
99,-0.845728
100,-0.845221
101,-0.845954
102,-0.844719
103,-0.845441
104,-0.846221
105,-0.845427
106,-0.844715
107,-0.844883
108,-0.845631
109,-0.845530
110,-0.844625
111,-0.845400
112,-0.846131
113,-0.845706
114,-0.845387
115,-0.844485
116,-0.845106
117,-0.845931
118,-0.846023
119,-0.844792
120,-0.845407
121,-0.846238
122,-0.846230
123,-0.845550
124,-0.845829
125,-0.845815
126,-0.846142
127,-0.844896
128,-0.845643
129,-0.845968
130,-0.845344
131,-0.846216
132,-0.845179
133,-0.845825
134,-0.845906
135,-0.845014
136,-0.845732
137,-0.845751
138,-0.844825
139,-0.844790
140,-0.844532
141,-0.845360
142,-0.846202
143,-0.845548
144,-0.845202
145,-0.844940
146,-0.845498
147,-0.846244
148,-0.846034
149,-0.845900
150,-0.845759
151,-0.846212
152,-0.845553
153,-0.845911
154,-0.845389
155,-0.846116
156,-0.845938
157,-0.845874
158,-0.845887
159,-0.846007
160,-0.845756
161,-0.845735
162,-0.845690
163,-0.845888
164,-0.845734
165,-0.846195
166,-0.845655
167,-0.845872
168,-0.846059
169,-0.846092
170,-0.846175
171,-0.845934
172,-0.845855
173,-0.845741
174,-0.845729
175,-0.846053
176,-0.845780
177,-0.845845
178,-0.845684
179,-0.846061
180,-0.845439
181,-0.845906
182,-0.845312
183,-0.846024
184,-0.846118
185,-0.846047
186,-0.846039
187,-0.845489
188,-0.845242
189,-0.845965
190,-0.845825
191,-0.845904
192,-0.846199
193,-0.845965
194,-0.845642
195,-0.846131
196,-0.845500
197,-0.846178
198,-0.846106
199,-0.845580
200,-0.846004
201,-0.845626
202,-0.845486
203,-0.846167
204,-0.846078
205,-0.846064
206,-0.845601
207,-0.845761
208,-0.845146
209,-0.846082
210,-0.845511
211,-0.846238
212,-0.844700
213,-0.845217
214,-0.846006
215,-0.845889
216,-0.845815
217,-0.846193
218,-0.846051
219,-0.846133
220,-0.845492
221,-0.845877
222,-0.846032
223,-0.846127
224,-0.846071
225,-0.845364
226,-0.846083
227,-0.845967
228,-0.845855
229,-0.845799
230,-0.845889
231,-0.846184
232,-0.845705
233,-0.845893
234,-0.845418
235,-0.845780
236,-0.845370
237,-0.845249
238,-0.846007
239,-0.845681
240,-0.845582
241,-0.845836
242,-0.845109
243,-0.845908
244,-0.844936
245,-0.845398
246,-0.846179
247,-0.845665
248,-0.845212
249,-0.845825
250,-0.845911
251,-0.844913
252,-0.844828
253,-0.844567
254,-0.845326
255,-0.846072
256,-0.845016
257,-0.845697
258,-0.845145
259,-0.845843
260,-0.846142
261,-0.845125
262,-0.845730
263,-0.846018
264,-0.845657
265,-0.845052
266,-0.845839
267,-0.845890
268,-0.845624
269,-0.845819
270,-0.845331
271,-0.846037
272,-0.844719
273,-0.845367
274,-0.846079
275,-0.845992
276,-0.845624
277,-0.846000
278,-0.845402
279,-0.846209
280,-0.846176
281,-0.845818
282,-0.845782
283,-0.845989
284,-0.845446
285,-0.845839
286,-0.845329
287,-0.846016
288,-0.846177
289,-0.846059
290,-0.846122
291,-0.845300
292,-0.846016
293,-0.845812
294,-0.845815
295,-0.845831
296,-0.845970
297,-0.845871
298,-0.846141
299,-0.845618
300,-0.845846
301,-0.845680
302,-0.845858
303,-0.845317
304,-0.845524
305,-0.845747
306,-0.846251
307,-0.845599
308,-0.845535
309,-0.846215
310,-0.846143
311,-0.845531
312,-0.846246
313,-0.844686
314,-0.845444
315,-0.846206
316,-0.846047
317,-0.845665
318,-0.846074
319,-0.845416
320,-0.846254
321,-0.846081
322,-0.846145
323,-0.845994
324,-0.845260
325,-0.845987
326,-0.845958
327,-0.846038
328,-0.846193
329,-0.845964
330,-0.845912
331,-0.845914
332,-0.846013
333,-0.845872
334,-0.845694
335,-0.846195
336,-0.845487
337,-0.845876
338,-0.845296
339,-0.846081
340,-0.846025
341,-0.845894
342,-0.846166
343,-0.845843
344,-0.845824
345,-0.845799
346,-0.845694
347,-0.846077
348,-0.845624
349,-0.845904
350,-0.845753
351,-0.845030
352,-0.845689
353,-0.846189
354,-0.845610
355,-0.845934
356,-0.845282
357,-0.845980
358,-0.846170
359,-0.846024
360,-0.845982
361,-0.845360
362,-0.845995
363,-0.846069
364,-0.845915
365,-0.845879
366,-0.845693
367,-0.846056
368,-0.845515
369,-0.845876
370,-0.845357
371,-0.846053
372,-0.845981
373,-0.845718
374,-0.845685
375,-0.846082
376,-0.845432
377,-0.845909
378,-0.845299
379,-0.846007
380,-0.845837
381,-0.845602
382,-0.846039
383,-0.845314
384,-0.845968
385,-0.845758
386,-0.845713
387,-0.846160
388,-0.845622
389,-0.845909
390,-0.845110
391,-0.845458
392,-0.846226
393,-0.845592
394,-0.846012
395,-0.845284
396,-0.846046
397,-0.846001
398,-0.845803
399,-0.845550
400,-0.846011
401,-0.845590
402,-0.845852
403,-0.845378
404,-0.846109
405,-0.845900
406,-0.845817
407,-0.845735
408,-0.846247
409,-0.845540
410,-0.845388
411,-0.844897
412,-0.845663
413,-0.845582
414,-0.845119
415,-0.845929
416,-0.845109
417,-0.845558
418,-0.844994
419,-0.845760
420,-0.845775
421,-0.845614
422,-0.845971
423,-0.845328
424,-0.846134
425,-0.845963
426,-0.846003
427,-0.845362
428,-0.846076
429,-0.845864
430,-0.845936
431,-0.845969
432,-0.845324
433,-0.845441
434,-0.845659
435,-0.846178
436,-0.845478
437,-0.845914
438,-0.845359
439,-0.846161
440,-0.846101
441,-0.845830
442,-0.845757
443,-0.845592
444,-0.845976
445,-0.846132
446,-0.846219
447,-0.846167
448,-0.845439
449,-0.845673
450,-0.845956
451,-0.846038
452,-0.845724
453,-0.846209
454,-0.845655
455,-0.845959
456,-0.845370
457,-0.846173
458,-0.846237
459,-0.846033
460,-0.845875
461,-0.845706
462,-0.845845
463,-0.845882
464,-0.846234
465,-0.845609
466,-0.845517
467,-0.846237
468,-0.846209
469,-0.846206
470,-0.846091
471,-0.845937
472,-0.845407
473,-0.845606
474,-0.845117
