measurement,one_way_delay_us
1,0.172493
2,0.173002
3,0.172964
4,0.172952
5,0.172982
6,0.173001
7,0.172913
8,0.172955
9,0.172961
10,0.172883
11,0.172932
12,0.172804
13,0.172820
14,0.172950
15,0.172969
16,0.172937
17,0.172976
18,0.172158
19,0.171965
20,0.171977
21,0.172230
22,0.172509
23,0.172794
24,0.172272
25,0.172703
26,0.172980
27,0.172362
28,0.172609
29,0.171884
30,0.172368
31,0.173029
32,0.172818
33,0.172546
34,0.172411
35,0.172796
36,0.172080
37,0.172774
38,0.172649
39,0.172387
40,0.172213
41,0.172884
42,0.172662
43,0.172488
44,0.172929
45,0.172352
46,0.172737
47,0.172523
48,0.171875
49,0.172648
50,0.172890
51,0.172434
52,0.172889
53,0.172234
54,0.172698
55,0.172577
56,0.171882
57,0.172577
58,0.172991
59,0.172546
60,0.172491
61,0.172601
62,0.172375
63,0.172815
64,0.171874
65,0.172551
66,0.172788
67,0.172208
68,0.172944
69,0.172672
70,0.172444
71,0.172086
72,0.172860
73,0.172601
74,0.172272
75,0.172963
76,0.172741
77,0.172455
78,0.171707
79,0.172517
80,0.172929
81,0.171985
82,0.172768
83,0.172514
84,0.172279
85,0.172960
86,0.172781
87,0.172581
88,0.171824
89,0.172607
90,0.173023
91,0.172157
92,0.172931
93,0.172636
94,0.172470
95,0.172235
96,0.172944
97,0.172707
98,0.172532
99,0.172286
100,0.172980
101,0.172906
102,0.172114
103,0.172797
104,0.172554
105,0.172388
106,0.172106
107,0.172841
108,0.172627
109,0.172423
110,0.172741
111,0.170068
112,0.171042
113,0.171708
114,0.172510
115,0.172470
116,0.171701
117,0.172527
118,0.172566
119,0.172336
120,0.172647
121,0.171538
122,0.172396
123,0.172838
124,0.172903
125,0.172807
126,0.172475
127,0.172174
128,0.172885
129,0.172655
130,0.172640
131,0.172311
132,0.172642
133,0.171892
134,0.172594
135,0.173013
136,0.172221
137,0.172955
138,0.172769
139,0.172491
140,0.172241
141,0.172972
142,0.172782
143,0.172735
144,0.172860
145,0.172484
146,0.172799
147,0.172028
148,0.172743
149,0.172461
150,0.172848
151,0.171960
152,0.172633
153,0.172999
154,0.172304
155,0.173003
156,0.172926
157,0.172688
158,0.172540
159,0.172914
160,0.172160
161,0.172879
162,0.172584
163,0.172942
164,0.172162
165,0.172940
166,0.172678
167,0.172462
168,0.172395
169,0.172547
170,0.172213
171,0.172930
172,0.172902
173,0.172648
174,0.172732
175,0.172514
176,0.173024
177,0.172523
178,0.172885
179,0.171987
180,0.172709
181,0.172912
182,0.172287
183,0.172974
184,0.172730
185,0.172434
186,0.172760
187,0.172032
188,0.172856
189,0.172659
190,0.172381
191,0.172147
192,0.172873
193,0.172608
194,0.172344
195,0.172251
196,0.172979
197,0.172741
198,0.171909
199,0.172630
200,0.172794
201,0.172282
202,0.172978
203,0.172757
204,0.172508
205,0.172897
206,0.172237
207,0.172954
208,0.172721
209,0.172936
210,0.172808
211,0.172866
212,0.172078
213,0.172757
214,0.172331
215,0.172269
216,0.173016
217,0.172708
218,0.171741
219,0.172197
220,0.172549
221,0.172482
222,0.172148
223,0.173010
224,0.172902
225,0.172933
226,0.172694
227,0.172134
228,0.172622
229,0.172121
230,0.172821
231,0.172602
232,0.172571
233,0.172628
234,0.172338
235,0.172712
236,0.171861
237,0.172524
238,0.172902
239,0.172294
240,0.173000
241,0.172782
242,0.172546
243,0.172972
244,0.172220
245,0.172943
246,0.172689
247,0.172309
248,0.172690
249,0.171945
250,0.172668
251,0.172449
252,0.172360
253,0.172118
254,0.172832
255,0.172642
256,0.172507
257,0.172722
258,0.172515
259,0.172955
260,0.172336
261,0.172714
262,0.172037
263,0.172887
264,0.172793
265,0.172669
266,0.172505
267,0.172314
268,0.172767
269,0.172059
270,0.172809
271,0.172684
272,0.172520
273,0.172342
274,0.172841
275,0.172159
276,0.172752
277,0.172989
278,0.172859
279,0.172995
280,0.172920
281,0.172763
282,0.172668
283,0.172636
284,0.172506
285,0.173016
286,0.172369
287,0.172892
288,0.172879
289,0.172273
290,0.172807
291,0.172273
292,0.172775
293,0.172158
294,0.172783
295,0.172242
296,0.172803
297,0.172276
298,0.172785
299,0.172970
300,0.172928
301,0.173029
302,0.172967
303,0.172474
304,0.172338
305,0.172711
306,0.172539
307,0.173027
308,0.172413
309,0.172909
310,0.172736
311,0.172757
312,0.171569
313,0.172279
314,0.172541
315,0.171341
316,0.172109
317,0.172953
318,0.172849
319,0.172766
320,0.172639
321,0.172430
322,0.172777
323,0.172780
324,0.172627
325,0.172415
326,0.172966
327,0.172916
328,0.172280
329,0.172808
330,0.172496
331,0.172798
332,0.172190
333,0.172762
334,0.172308
335,0.172660
336,0.172121
337,0.172917
338,0.172780
339,0.172815
340,0.172711
341,0.172219
342,0.172917
343,0.172883
344,0.172940
345,0.172894
346,0.172187
347,0.173033
348,0.172956
349,0.172989
350,0.172802
351,0.172700
352,0.172184
353,0.172938
354,0.172821
355,0.172786
356,0.172799
357,0.171970
358,0.172707
359,0.172648
360,0.172613
361,0.172352
362,0.172834
363,0.172288
364,0.172800
365,0.172235
366,0.172700
367,0.172413
368,0.172888
369,0.172250
370,0.172776
371,0.172195
372,0.173003
373,0.172800
374,0.172689
375,0.172673
376,0.172645
377,0.172880
378,0.172674
379,0.172664
380,0.172473
381,0.172959
382,0.172393
383,0.172851
384,0.172212
385,0.172782
386,0.172718
387,0.172001
388,0.172774
389,0.172701
390,0.172714
391,0.172944
392,0.172417
393,0.172676
394,0.172921
395,0.172884
396,0.172777
397,0.172205
398,0.172659
399,0.172060
400,0.172815
401,0.172842
402,0.172832
403,0.172753
404,0.172242
405,0.172683
406,0.172085
407,0.172582
408,0.172868
409,0.172900
410,0.172691
411,0.171099
412,0.171839
413,0.172736
414,0.172863
415,0.171317
416,0.172081
417,0.172886
418,0.172655
419,0.172583
420,0.172441
421,0.172187
422,0.173043
423,0.172984
424,0.172800
425,0.172750
426,0.172222
427,0.172669
428,0.172777
429,0.172914
430,0.172581
431,0.172266
432,0.172733
433,0.172818
434,0.172564
435,0.172327
436,0.173009
437,0.172802
438,0.172681
439,0.172439
440,0.172863
441,0.171990
442,0.172633
443,0.172407
444,0.172375
445,0.172706
446,0.171867
447,0.172591
448,0.173025
449,0.172222
450,0.172979
451,0.172840
452,0.173024
453,0.172611
454,0.172877
455,0.172172
456,0.172856
457,0.172550
458,0.173002
459,0.172258
460,0.172995
461,0.172792
462,0.172669
463,0.172808
464,0.172643
465,0.172271
466,0.172973
467,0.172767
468,0.172646
469,0.172480
470,0.172658
471,0.172372
472,0.172590
473,0.172742
474,0.172741
475,0.172692
476,0.172418
477,0.172938
478,0.172432
479,0.172908
480,0.172289
481,0.172715
482,0.172672
483,0.172888
484,0.172826
485,0.172665
486,0.172165
487,0.172567
488,0.171983
489,0.172782
490,0.172764
491,0.172593
492,0.172906
493,0.172772
494,0.172797
495,0.172670
496,0.173011
497,0.172423
498,0.172924
499,0.172290
500,0.172779
501,0.172534
502,0.172989
503,0.172274
504,0.172780
505,0.172275
506,0.172703
507,0.172137
508,0.172952
509,0.172960
510,0.172808
511,0.172420
512,0.170574
513,0.171284
514,0.172158
515,0.172988
516,0.172365
517,0.171365
518,0.172311
519,0.172236
520,0.172569
521,0.171880
522,0.171817
523,0.172645
524,0.172517
525,0.171873
526,0.172611
527,0.172761
528,0.172232
529,0.171901
530,0.172693
531,0.172625
532,0.172665
533,0.171831
534,0.171664
535,0.172172
536,0.173044
537,0.171859
538,0.172584
539,0.172697
540,0.172720
541,0.171836
542,0.172643
543,0.172558
544,0.173031
545,0.171879
546,0.172685
547,0.172768
548,0.172843
549,0.171855
550,0.172623
551,0.172617
552,0.172586
553,0.171804
554,0.171556
555,0.172393
556,0.172738
557,0.171865
558,0.171728
559,0.172548
560,0.173011
561,0.171818
562,0.172536
563,0.172674
564,0.172236
565,0.171823
566,0.172641
567,0.172613
568,0.172601
569,0.171788
570,0.172551
571,0.172522
572,0.172954
573,0.171820
574,0.172595
575,0.172767
576,0.172298
577,0.171635
578,0.172443
579,0.172305
580,0.172986
581,0.171810
582,0.172620
583,0.172794
584,0.172314
585,0.171913
586,0.171790
587,0.172611
588,0.173011
589,0.171831
590,0.172561
591,0.172664
592,0.172729
593,0.171831
594,0.172597
595,0.172549
596,0.173027
597,0.171858
598,0.172661
599,0.172783
600,0.172294
601,0.171876
602,0.171727
603,0.172564
604,0.172986
605,0.171800
606,0.171751
607,0.172900
608,0.172810
609,0.171804
610,0.172568
611,0.171874
612,0.172648
613,0.171272
614,0.171991
615,0.172857
616,0.172442
617,0.171843
618,0.172663
619,0.172521
620,0.172247
621,0.171910
622,0.172711
623,0.172655
624,0.172508
625,0.171813
626,0.172545
627,0.172521
628,0.172953
629,0.171864
630,0.171969
631,0.172533
632,0.171991
633,0.171878
634,0.172612
635,0.172526
636,0.172626
637,0.171915
638,0.171843
639,0.172674
640,0.172765
641,0.171312
642,0.172717
643,0.172837
644,0.172386
645,0.171881
646,0.171724
647,0.172514
648,0.172943
649,0.171943
650,0.172650
651,0.172705
652,0.172275
653,0.171861
654,0.171621
655,0.172474
656,0.172932
657,0.171860
658,0.171715
659,0.172556
660,0.172944
661,0.171860
662,0.172513
663,0.172618
664,0.172695
665,0.171782
666,0.172560
667,0.172526
668,0.172978
669,0.171788
670,0.172584
671,0.172701
672,0.172262
673,0.171818
674,0.172626
675,0.172609
676,0.172606
677,0.171749
678,0.172555
679,0.172552
680,0.172522
681,0.171739
682,0.172493
683,0.172506
684,0.172358
685,0.171881
686,0.172638
687,0.172733
688,0.172052
689,0.171849
690,0.172646
691,0.172658
692,0.172664
693,0.171808
694,0.172600
695,0.172592
696,0.172509
697,0.171898
698,0.171741
699,0.172546
700,0.172963
701,0.171767
702,0.172542
703,0.172688
704,0.172765
705,0.171811
706,0.172618
707,0.172522
708,0.172967
709,0.171643
710,0.172485
711,0.172103
712,0.172895
713,0.171637
714,0.172296
715,0.171875
716,0.172687
717,0.171854
718,0.172651
719,0.172481
720,0.172263
721,0.171782
722,0.172539
723,0.172569
724,0.172661
725,0.171729
726,0.172472
727,0.172479
728,0.172431
729,0.171883
730,0.172641
731,0.172746
732,0.172114
733,0.171900
734,0.172697
735,0.172692
736,0.172781
737,0.171822
738,0.172630
739,0.172595
740,0.172633
741,0.171867
742,0.172617
743,0.172558
744,0.173044
745,0.171874
746,0.172699
747,0.172866
748,0.172372
749,0.171870
750,0.172652
751,0.172780
752,0.172279
753,0.171798
754,0.172560
755,0.172537
756,0.172973
757,0.171795
758,0.172565
759,0.172669
760,0.172749
761,0.171538
762,0.171859
763,0.172673
764,0.172450
765,0.170963
766,0.172625
767,0.172673
768,0.172696
769,0.171692
770,0.172507
771,0.172507
772,0.172934
773,0.171802
774,0.172550
775,0.172702
776,0.172769
777,0.171839
778,0.172567
779,0.172547
780,0.172969
781,0.171855
782,0.172612
783,0.172728
784,0.172755
785,0.171804
786,0.171651
787,0.172500
788,0.172954
789,0.171779
790,0.172489
791,0.172590
792,0.172983
793,0.171835
794,0.172600
795,0.172677
796,0.172747
797,0.171758
798,0.172485
799,0.172468
800,0.172897
801,0.171781
802,0.172549
803,0.172649
804,0.172714
805,0.171711
806,0.172461
807,0.172472
808,0.172939
809,0.171117
810,0.172478
811,0.171882
812,0.172680
813,0.171552
814,0.172244
815,0.171880
816,0.172688
817,0.171860
818,0.172594
819,0.172721
820,0.172158
821,0.171783
822,0.172627
823,0.172599
824,0.172939
825,0.171838
826,0.172589
827,0.172690
828,0.172650
829,0.171790
830,0.171573
831,0.172408
832,0.172806
833,0.171895
834,0.171760
835,0.172551
836,0.172998
837,0.171885
838,0.172671
839,0.172756
840,0.172230
841,0.171847
842,0.172638
843,0.172546
844,0.172950
845,0.171760
846,0.172536
847,0.172650
848,0.172606
849,0.171587
850,0.172370
851,0.172409
852,0.172253
853,0.171864
854,0.172603
855,0.172609
856,0.172127
857,0.171838
858,0.172629
859,0.172591
860,0.172976
861,0.171856
862,0.172610
863,0.172723
864,0.172565
865,0.171799
866,0.172564
867,0.172505
868,0.172503
869,0.171896
870,0.171874
871,0.172688
872,0.172606
873,0.171917
874,0.172682
875,0.172788
876,0.172340
877,0.171929
878,0.172732
879,0.172649
880,0.172736
881,0.171830
882,0.172629
883,0.172499
884,0.172983
885,0.171905
886,0.172683
887,0.172808
888,0.172341
889,0.171047
890,0.172608
891,0.172740
892,0.172785
893,0.171792
894,0.172580
895,0.172541
896,0.173034
897,0.171747
898,0.172519
899,0.172526
900,0.172401
901,0.171782
902,0.172523
903,0.172677
904,0.172577
905,0.171894
906,0.172623
907,0.172709
908,0.172110
909,0.171751
910,0.172542
911,0.172865
912,0.171696
913,0.171541
914,0.172326
915,0.172410
916,0.172197
917,0.171891
918,0.172677
919,0.172449
920,0.172287
921,0.171829
922,0.172576
923,0.172543
924,0.172942
925,0.171850
926,0.172600
927,0.172680
928,0.172623
929,0.171758
930,0.172545
931,0.172434
932,0.172288
933,0.171877
934,0.172595
935,0.172615
936,0.173014
937,0.171806
938,0.172612
939,0.172743
940,0.172778
941,0.171783
942,0.172560
943,0.172552
944,0.173035
945,0.171754
946,0.172549
947,0.172572
948,0.172619
949,0.171827
950,0.172524
951,0.172510
952,0.172355
953,0.171882
954,0.172652
955,0.172722
956,0.172197
957,0.171880
958,0.172667
959,0.172628
960,0.172996
961,0.171838
962,0.172618
963,0.172736
964,0.172735
965,0.171821
966,0.172607
967,0.172509
968,0.172988
969,0.171922
970,0.172674
971,0.172830
972,0.172353
973,0.171920
974,0.172665
975,0.172623
976,0.172628
977,0.171838
978,0.171544
979,0.172372
980,0.172759
981,0.171890
982,0.172641
983,0.172669
984,0.172193
985,0.171897
986,0.171683
987,0.172525
988,0.172978
989,0.171814
990,0.172535
991,0.172610
992,0.172668
993,0.171685
994,0.172461
995,0.172421
996,0.172535
997,0.171858
998,0.172618
999,0.172665
1000,0.172770
1001,0.171856
1002,0.172606
1003,0.172696
1004,0.172347
1005,0.171857
1006,0.172682
1007,0.172664
1008,0.172848
1009,0.171688
1010,0.172464
1011,0.171907
1012,0.172887
1013,0.171862
1014,0.172632
1015,0.171861
1016,0.172601
1017,0.171925
1018,0.171733
1019,0.172526
1020,0.172752
1021,0.171825
1022,0.171591
1023,0.172348
1024,0.172603
1025,0.171827
1026,0.172611
1027,0.172484
1028,0.172302
1029,0.171891
1030,0.172672
1031,0.172569
1032,0.172977
1033,0.171879
1034,0.172616
1035,0.172568
1036,0.173004
1037,0.171870
1038,0.172576
1039,0.172581
1040,0.172984
1041,0.171828
1042,0.172513
1043,0.172542
1044,0.172988
1045,0.171808
1046,0.172520
1047,0.172643
1048,0.172795
1049,0.171802
1050,0.172498
1051,0.172399
1052,0.172223
1053,0.171787
1054,0.172462
1055,0.172482
1056,0.172864
1057,0.171795
1058,0.172526
1059,0.172609
1060,0.172997
1061,0.171795
1062,0.172539
1063,0.172624
1064,0.173000
1065,0.171834
1066,0.172540
1067,0.172606
1068,0.173018
1069,0.171830
1070,0.172522
1071,0.172603
1072,0.172953
1073,0.171846
1074,0.172511
1075,0.172627
1076,0.172549
1077,0.171745
1078,0.172471
1079,0.172605
1080,0.172965
1081,0.171870
1082,0.172580
1083,0.172672
1084,0.172090
1085,0.171898
1086,0.172625
1087,0.172537
1088,0.172918
1089,0.171850
1090,0.172575
1091,0.172639
1092,0.172463
1093,0.171887
1094,0.172537
1095,0.172614
