measurement,one_way_delay_us
1,0.277937
2,0.278307
3,0.278322
4,0.278332
5,0.278361
6,0.278364
7,0.278330
8,0.278329
9,0.278389
10,0.278345
11,0.278346
12,0.278360
13,0.278365
14,0.278371
15,0.278336
16,0.278348
17,0.278375
18,0.278349
19,0.278296
20,0.278392
21,0.278390
22,0.278391
23,0.278331
24,0.278387
25,0.278371
26,0.278380
27,0.278338
28,0.278361
29,0.278365
30,0.278383
31,0.278363
32,0.278343
33,0.278344
34,0.278330
35,0.278349
36,0.278309
37,0.278318
38,0.278357
39,0.278355
40,0.278338
41,0.278361
42,0.278365
43,0.278363
44,0.278331
45,0.278340
46,0.278309
47,0.278360
48,0.278350
49,0.278357
50,0.278376
51,0.278367
52,0.278345
53,0.278371
54,0.278359
55,0.278369
56,0.278367
57,0.278346
58,0.278363
59,0.278379
60,0.278349
61,0.278377
62,0.278376
63,0.278395
64,0.278347
65,0.278361
66,0.278380
67,0.278375
68,0.278378
69,0.278353
70,0.278368
71,0.278372
72,0.278340
73,0.278321
74,0.278362
75,0.278349
76,0.278345
77,0.278316
78,0.278354
79,0.278384
80,0.278366
81,0.278383
82,0.278340
83,0.278370
84,0.278340
85,0.278377
86,0.278345
87,0.278369
88,0.278368
89,0.278361
90,0.278342
91,0.278332
92,0.278325
93,0.278322
94,0.278324
95,0.278362
96,0.278358
97,0.278371
98,0.278315
99,0.278390
100,0.278324
101,0.278305
102,0.278304
103,0.278375
104,0.278353
105,0.278380
106,0.278331
107,0.278355
108,0.278317
109,0.278390
110,0.278299
111,0.278374
112,0.278356
113,0.278376
114,0.278385
115,0.278361
116,0.278349
117,0.278371
118,0.278378
119,0.278344
120,0.278363
121,0.278351
122,0.278354
123,0.278333
124,0.278360
125,0.278362
126,0.278305
127,0.278342
128,0.278355
129,0.278362
130,0.278361
131,0.278342
132,0.278358
133,0.278370
134,0.278360
135,0.278304
136,0.278147
137,0.278348
138,0.278344
139,0.278363
140,0.278355
141,0.278339
142,0.278322
143,0.278339
144,0.278283
145,0.278389
146,0.278371
147,0.278383
148,0.278359
149,0.278379
150,0.278375
151,0.278376
152,0.278348
153,0.278307
154,0.278388
155,0.278382
156,0.278359
157,0.278371
158,0.278372
159,0.278373
160,0.278336
161,0.278387
162,0.278343
163,0.278379
164,0.278369
165,0.278388
166,0.278359
167,0.278377
168,0.278385
169,0.278364
170,0.278337
171,0.278382
172,0.278347
173,0.278333
174,0.278336
175,0.278378
176,0.278374
177,0.278369
178,0.278370
179,0.278356
180,0.278313
181,0.278373
182,0.278390
183,0.278379
184,0.278378
185,0.278368
186,0.278365
187,0.278374
188,0.278350
189,0.278307
190,0.278376
191,0.278379
192,0.278393
193,0.278319
194,0.278334
195,0.278380
196,0.278353
197,0.278357
198,0.278245
199,0.278372
200,0.278369
